,timestamp,spectrum,specie_type,beverage_type
0,2024-06-25T11:26:43,"['673', '633', '641', '624', '640', '643', '653', '672', '624', '632', '616', '636', '624', '629', '632', '624', '672', '632', '639', '636', '636', '616', '644', '648', '701', '760', '824', '816', '799', '747', '753', '720', '752', '751', '730', '752', '680', '700', '668', '671', '667', '668', '632', '648', '655', '647', '671', '653', '655', '655', '646', '672', '640', '672', '656', '654', '671', '736', '720', '831', '854', '872', '875', '833', '832', '803', '823', '847', '869', '928', '1000', '1096', '1207', '1293', '1375', '1380', '1416', '1396', '1408', '1411', '1444', '1443', '1376', '1379', '1320', '1288', '1264', '1224', '1194', '1170', '1156', '1148', '1159', '1145', '1167', '1153', '1183', '1163', '1165', '1141', '1135', '1132', '1080', '1068', '1070', '1040', '1024', '1008', '1008', '999', '1007', '960', '977', '1008', '960', '992', '944', '960', '960', '928', '921', '912', '898', '898', '884', '856', '864', '844', '848', '864', '808', '856', '808', '832', '816', '832', '813', '837', '827', '831', '844', '851', '887', '888', '924', '960', '944', '995', '979', '1007', '995', '975', '959', '943', '896', '863', '840', '808', '816', '791', '783', '799', '783', '783', '759', '750', '783', '751', '736', '744', '736', '736', '732', '734', '735', '716', '724', '724', '703', '735', '702', '728', '712', '736', '704', '736', '680', '703', '695', '687', '703', '695', '704', '687', '671', '682', '707', '675', '695', '673', '679', '672', '657', '660', '664', '654', '660', '655', '662', '654', '652', '656', '671', '652', '688', '645', '696', '640', '648', '636', '648', '632', '671', '644', '658', '632', '640', '655', '653', '673', '663', '671', '655', '671', '646', '680', '632', '639', '655', '647', '643', '647', '672', '645', '671', '644', '656', '624', '632', '672', '632', '675', '647', '675', '659', '672', '645', '670', '632', '648', '638', '638', '624', '632', '655', '648', '655', '655', '647', '632', '648', '638', '648', '652', '636', '671', '646', '632', '640', '624', '640', '632', '632', '636', '636', '655', '669', '636']",arabica,especial
1,2024-06-25T11:26:44,"['638', '672', '624', '639', '643', '643', '624', '632', '624', '624', '655', '653', '647', '643', '655', '624', '636', '672', '625', '655', '647', '655', '663', '689', '705', '803', '807', '864', '800', '744', '736', '743', '753', '767', '727', '728', '680', '676', '687', '667', '696', '648', '640', '636', '640', '647', '663', '673', '655', '673', '640', '671', '648', '648', '670', '655', '656', '688', '751', '813', '863', '879', '887', '839', '807', '782', '792', '816', '856', '941', '1029', '1115', '1193', '1301', '1344', '1395', '1408', '1435', '1396', '1410', '1456', '1396', '1400', '1364', '1334', '1284', '1296', '1216', '1207', '1157', '1151', '1163', '1167', '1153', '1169', '1136', '1183', '1167', '1153', '1128', '1128', '1135', '1111', '1091', '1061', '1056', '1009', '1016', '1004', '988', '1023', '991', '987', '988', '966', '975', '959', '951', '953', '916', '920', '892', '896', '888', '872', '880', '864', '876', '848', '834', '815', '831', '808', '800', '823', '799', '831', '829', '831', '843', '872', '848', '895', '903', '935', '960', '967', '968', '984', '1016', '976', '947', '944', '928', '878', '868', '865', '817', '832', '764', '784', '760', '760', '760', '740', '775', '769', '767', '751', '771', '727', '755', '736', '737', '743', '735', '727', '719', '712', '700', '704', '711', '727', '703', '703', '727', '687', '735', '687', '687', '688', '680', '672', '680', '679', '691', '673', '672', '673', '673', '656', '664', '638', '660', '672', '657', '687', '655', '688', '656', '649', '636', '656', '632', '656', '641', '653', '655', '651', '644', '648', '657', '657', '641', '651', '633', '644', '649', '646', '632', '648', '632', '638', '647', '641', '636', '648', '638', '652', '624', '632', '651', '647', '655', '652', '636', '648', '640', '643', '655', '647', '685', '641', '655', '651', '655', '655', '671', '644', '652', '632', '632', '648', '644', '673', '640', '645', '632', '632', '654', '654', '684', '636', '670', '636', '655', '647', '643', '632', '632', '640', '640', '624', '636', '672', '641', '688', '624']",arabica,especial
2,2024-06-25T11:26:44,"['640', '625', '627', '624', '632', '639', '636', '639', '643', '643', '641', '647', '638', '632', '680', '624', '639', '636', '634', '647', '647', '646', '654', '636', '702', '760', '808', '824', '788', '759', '746', '720', '744', '751', '731', '767', '687', '687', '672', '656', '640', '656', '648', '654', '655', '647', '667', '643', '647', '632', '625', '688', '632', '636', '636', '645', '656', '720', '728', '811', '851', '877', '860', '824', '799', '790', '828', '820', '888', '908', '1023', '1101', '1211', '1295', '1359', '1376', '1401', '1439', '1420', '1404', '1431', '1437', '1407', '1344', '1321', '1291', '1275', '1256', '1188', '1160', '1152', '1165', '1182', '1136', '1140', '1155', '1157', '1184', '1120', '1128', '1119', '1110', '1131', '1088', '1079', '1051', '1055', '1031', '1031', '983', '1007', '983', '991', '987', '959', '975', '976', '936', '984', '920', '935', '915', '903', '903', '896', '879', '879', '855', '863', '843', '812', '832', '815', '812', '815', '799', '799', '812', '807', '844', '828', '852', '864', '888', '904', '959', '963', '991', '980', '974', '991', '955', '959', '927', '879', '872', '843', '823', '814', '780', '801', '775', '775', '752', '753', '751', '768', '734', '748', '767', '727', '747', '720', '720', '759', '711', '727', '704', '704', '703', '703', '711', '719', '707', '688', '692', '703', '711', '687', '672', '688', '703', '668', '672', '671', '682', '664', '664', '656', '656', '638', '656', '640', '663', '656', '669', '665', '655', '663', '636', '644', '638', '640', '640', '652', '655', '655', '636', '632', '654', '638', '672', '647', '671', '663', '655', '647', '671', '647', '671', '655', '663', '647', '672', '624', '647', '640', '635', '640', '664', '636', '649', '628', '648', '628', '640', '679', '643', '655', '647', '655', '651', '671', '636', '655', '624', '645', '647', '647', '640', '647', '647', '651', '672', '632', '643', '627', '643', '628', '647', '655', '651', '640', '643', '647', '655', '624', '628', '671', '624', '655', '641', '640', '624', '632', '672', '640', '639']",arabica,especial
3,2024-06-25T11:26:45,"['640', '640', '624', '632', '680', '616', '670', '632', '639', '643', '647', '636', '636', '624', '644', '640', '640', '655', '647', '647', '624', '632', '632', '648', '688', '765', '804', '840', '784', '767', '747', '741', '736', '752', '732', '724', '732', '664', '700', '648', '672', '656', '673', '657', '655', '644', '679', '641', '663', '655', '655', '663', '673', '647', '679', '663', '683', '707', '720', '802', '871', '879', '879', '844', '788', '792', '800', '833', '896', '931', '1056', '1101', '1240', '1278', '1351', '1389', '1421', '1384', '1420', '1431', '1428', '1439', '1403', '1375', '1351', '1312', '1256', '1239', '1191', '1181', '1137', '1159', '1175', '1153', '1142', '1135', '1184', '1159', '1143', '1121', '1137', '1104', '1101', '1099', '1063', '1063', '1035', '1037', '990', '992', '1031', '983', '1023', '983', '991', '975', '975', '960', '959', '927', '933', '929', '897', '913', '887', '881', '860', '852', '848', '824', '820', '828', '847', '811', '831', '812', '815', '823', '831', '847', '880', '849', '895', '903', '935', '943', '959', '986', '1007', '975', '993', '940', '940', '912', '880', '864', '840', '812', '816', '764', '784', '760', '765', '752', '767', '751', '761', '736', '752', '736', '720', '751', '735', '735', '737', '723', '739', '727', '719', '735', '704', '696', '696', '696', '719', '707', '703', '705', '699', '664', '688', '703', '698', '695', '679', '687', '679', '677', '687', '671', '656', '664', '663', '668', '702', '655', '671', '655', '671', '663', '671', '656', '661', '655', '669', '655', '655', '655', '650', '649', '653', '648', '648', '688', '636', '672', '632', '636', '636', '651', '660', '632', '640', '655', '640', '680', '640', '655', '655', '647', '641', '649', '673', '659', '671', '655', '655', '640', '638', '644', '645', '655', '624', '632', '673', '640', '679', '647', '647', '671', '655', '655', '647', '632', '648', '632', '640', '643', '647', '655', '655', '671', '655', '655', '664', '636', '651', '641', '673', '645', '688', '640', '641', '632', '641', '624', '656', '643']",arabica,especial
4,2024-06-25T11:26:45,"['624', '632', '624', '632', '632', '628', '632', '639', '641', '647', '625', '649', '632', '636', '673', '625', '645', '624', '624', '624', '632', '647', '655', '671', '704', '768', '800', '836', '828', '744', '767', '724', '751', '744', '736', '721', '704', '687', '687', '655', '663', '662', '646', '688', '632', '672', '636', '632', '644', '632', '632', '649', '645', '632', '656', '641', '673', '680', '736', '792', '848', '871', '878', '847', '812', '815', '812', '812', '860', '911', '1024', '1127', '1217', '1303', '1351', '1415', '1419', '1423', '1435', '1441', '1434', '1423', '1383', '1373', '1324', '1300', '1261', '1232', '1216', '1156', '1151', '1152', '1135', '1136', '1141', '1160', '1147', '1169', '1141', '1129', '1130', '1088', '1096', '1064', '1065', '1040', '1052', '1024', '1023', '984', '1023', '975', '991', '999', '975', '975', '963', '936', '944', '912', '920', '927', '903', '927', '897', '887', '852', '848', '863', '837', '831', '839', '829', '792', '816', '799', '820', '831', '815', '847', '828', '848', '885', '896', '960', '960', '979', '992', '984', '980', '1008', '936', '951', '915', '903', '879', '868', '820', '820', '768', '784', '764', '776', '763', '752', '732', '748', '764', '744', '764', '720', '760', '721', '741', '743', '752', '720', '721', '704', '735', '719', '709', '704', '704', '688', '696', '672', '696', '672', '680', '680', '680', '687', '684', '656', '676', '687', '677', '703', '660', '687', '668', '671', '663', '672', '672', '673', '640', '656', '679', '659', '704', '657', '640', '660', '636', '648', '671', '647', '696', '632', '655', '655', '651', '663', '655', '659', '663', '632', '640', '663', '651', '654', '650', '670', '636', '671', '636', '671', '651', '655', '632', '632', '643', '641', '651', '655', '640', '672', '643', '632', '648', '633', '640', '648', '640', '636', '638', '655', '655', '671', '647', '655', '643', '655', '640', '647', '651', '672', '640', '688', '640', '680', '636', '637', '632', '635', '625', '672', '632', '663', '653', '655', '655', '643', '651', '648', '624']",arabica,especial
5,2024-06-25T11:28:14,"['647', '647', '647', '643', '663', '641', '628', '632', '655', '641', '664', '636', '639', '640', '657', '643', '647', '647', '641', '628', '640', '624', '641', '656', '719', '779', '820', '832', '815', '768', '769', '735', '734', '744', '743', '725', '719', '687', '687', '663', '675', '657', '655', '657', '671', '636', '656', '624', '640', '624', '632', '636', '637', '624', '671', '655', '679', '688', '721', '800', '853', '871', '875', '828', '798', '799', '795', '831', '863', '892', '1004', '1056', '1168', '1244', '1317', '1379', '1395', '1386', '1404', '1408', '1409', '1415', '1361', '1360', '1332', '1282', '1263', '1219', '1183', '1159', '1151', '1143', '1145', '1120', '1151', '1124', '1136', '1135', '1135', '1135', '1119', '1103', '1103', '1061', '1065', '1039', '1029', '1008', '1000', '993', '1005', '983', '989', '961', '949', '971', '951', '935', '961', '925', '919', '894', '888', '928', '873', '883', '871', '832', '840', '851', '832', '864', '800', '800', '812', '807', '833', '811', '821', '816', '832', '831', '872', '895', '924', '959', '944', '980', '976', '969', '982', '951', '953', '911', '891', '864', '841', '816', '817', '764', '784', '760', '752', '773', '755', '735', '756', '751', '751', '732', '720', '743', '737', '724', '732', '736', '712', '727', '719', '727', '715', '736', '712', '711', '709', '707', '672', '696', '703', '685', '703', '687', '687', '687', '684', '673', '672', '704', '672', '687', '670', '674', '636', '660', '696', '640', '688', '636', '675', '663', '688', '656', '671', '655', '671', '632', '656', '632', '636', '668', '652', '655', '655', '653', '671', '655', '655', '663', '643', '655', '663', '680', '640', '645', '632', '645', '636', '635', '640', '668', '640', '651', '624', '648', '655', '647', '655', '642', '655', '645', '624', '648', '632', '636', '632', '628', '653', '647', '655', '655', '675', '641', '671', '655', '671', '654', '671', '647', '632', '636', '632', '636', '632', '640', '624', '651', '640', '641', '632', '632', '648', '640', '639', '655', '647', '624', '648', '645']",arabica,especial
6,2024-06-25T11:28:15,"['632', '616', '624', '655', '647', '641', '625', '628', '624', '624', '647', '655', '671', '646', '671', '641', '672', '628', '639', '647', '647', '624', '648', '636', '696', '780', '810', '864', '784', '767', '735', '724', '736', '744', '712', '735', '688', '676', '664', '660', '655', '669', '671', '655', '688', '624', '648', '642', '650', '638', '636', '636', '632', '644', '654', '688', '664', '702', '720', '792', '844', '879', '874', '847', '797', '817', '784', '831', '844', '908', '1004', '1081', '1164', '1260', '1296', '1360', '1376', '1393', '1408', '1388', '1393', '1399', '1351', '1359', '1296', '1272', '1224', '1208', '1191', '1153', '1139', '1131', '1131', '1135', '1143', '1135', '1155', '1130', '1128', '1123', '1131', '1121', '1105', '1088', '1056', '1055', '1007', '1029', '990', '982', '984', '980', '972', '992', '945', '992', '937', '943', '955', '943', '933', '904', '888', '907', '887', '895', '856', '832', '831', '824', '796', '816', '792', '796', '804', '799', '800', '811', '800', '820', '847', '853', '911', '903', '943', '959', '959', '1008', '980', '1000', '964', '959', '943', '923', '896', '879', '831', '831', '815', '799', '780', '797', '773', '808', '736', '744', '736', '739', '752', '767', '728', '744', '734', '728', '736', '717', '752', '720', '736', '704', '719', '711', '719', '703', '711', '696', '687', '691', '691', '687', '704', '687', '695', '679', '684', '684', '672', '672', '656', '656', '688', '656', '673', '672', '662', '656', '696', '636', '671', '652', '671', '655', '663', '651', '663', '655', '663', '663', '655', '641', '645', '651', '657', '632', '640', '688', '632', '645', '624', '641', '640', '655', '651', '653', '628', '648', '647', '643', '633', '629', '672', '632', '670', '640', '640', '644', '652', '616', '632', '655', '647', '663', '640', '640', '647', '641', '655', '647', '632', '648', '647', '641', '663', '647', '671', '647', '632', '643', '654', '646', '671', '650', '655', '643', '641', '655', '655', '647', '655', '645', '673', '640', '671', '646', '644', '636', '652', '628']",arabica,especial
7,2024-06-25T11:28:16,"['653', '671', '632', '644', '638', '636', '647', '645', '655', '647', '646', '655', '629', '640', '671', '643', '675', '641', '655', '655', '655', '643', '692', '656', '732', '768', '839', '845', '831', '750', '740', '720', '752', '736', '723', '720', '719', '671', '677', '648', '660', '675', '655', '687', '655', '675', '659', '673', '649', '680', '632', '659', '645', '651', '656', '649', '671', '698', '735', '811', '883', '867', '875', '832', '800', '791', '807', '831', '863', '922', '1006', '1080', '1200', '1264', '1325', '1365', '1403', '1380', '1407', '1399', '1421', '1380', '1376', '1340', '1306', '1287', '1263', '1219', '1175', '1163', '1104', '1132', '1104', '1112', '1151', '1120', '1151', '1128', '1143', '1136', '1152', '1101', '1080', '1060', '1088', '1041', '1056', '1024', '991', '991', '1023', '968', '987', '992', '965', '960', '960', '928', '959', '927', '924', '894', '888', '897', '883', '889', '864', '863', '855', '839', '808', '832', '800', '800', '815', '808', '831', '812', '831', '831', '847', '831', '888', '888', '927', '943', '967', '976', '984', '992', '985', '960', '949', '912', '899', '880', '863', '837', '831', '776', '784', '764', '760', '783', '757', '767', '775', '768', '736', '744', '735', '748', '751', '735', '751', '718', '730', '727', '717', '721', '711', '719', '727', '735', '711', '736', '680', '707', '704', '695', '705', '711', '691', '672', '680', '671', '676', '704', '683', '687', '679', '687', '671', '702', '656', '671', '671', '661', '675', '669', '663', '671', '648', '656', '672', '651', '652', '656', '655', '651', '656', '632', '641', '673', '659', '675', '659', '655', '672', '644', '696', '638', '655', '647', '647', '647', '657', '632', '649', '640', '643', '640', '634', '647', '651', '636', '648', '671', '650', '655', '644', '652', '632', '636', '644', '636', '649', '647', '663', '663', '679', '647', '632', '636', '672', '641', '671', '648', '644', '647', '663', '675', '647', '655', '647', '671', '655', '672', '649', '672', '643', '672', '640', '643', '643', '632', '659', '624']",arabica,especial
8,2024-06-25T11:28:16,"['636', '639', '645', '645', '655', '643', '640', '640', '640', '634', '670', '636', '639', '622', '670', '624', '663', '640', '656', '632', '655', '641', '655', '638', '700', '799', '815', '863', '796', '767', '746', '735', '751', '767', '721', '735', '702', '687', '687', '669', '659', '663', '673', '656', '672', '641', '652', '636', '672', '640', '671', '655', '653', '647', '663', '671', '679', '700', '728', '789', '848', '879', '863', '848', '784', '793', '764', '816', '844', '914', '991', '1084', '1216', '1259', '1331', '1340', '1369', '1360', '1384', '1379', '1403', '1377', '1363', '1336', '1312', '1267', '1253', '1200', '1173', '1136', '1120', '1153', '1121', '1150', '1108', '1136', '1132', '1140', '1143', '1127', '1149', '1088', '1103', '1063', '1071', '1043', '1023', '1009', '1015', '992', '976', '961', '999', '975', '991', '959', '943', '929', '960', '904', '912', '927', '899', '899', '896', '877', '864', '834', '880', '824', '824', '816', '808', '807', '815', '833', '803', '856', '804', '824', '847', '855', '928', '880', '931', '945', '975', '991', '991', '956', '976', '928', '944', '904', '872', '892', '828', '831', '820', '792', '776', '776', '760', '770', '741', '744', '784', '739', '771', '745', '737', '759', '736', '720', '736', '700', '720', '735', '719', '702', '696', '719', '725', '711', '704', '704', '672', '688', '688', '683', '704', '687', '687', '672', '672', '671', '671', '700', '664', '688', '656', '671', '660', '696', '656', '686', '656', '651', '640', '657', '654', '666', '688', '636', '656', '632', '648', '632', '632', '647', '649', '632', '638', '671', '648', '671', '648', '655', '643', '647', '671', '655', '641', '643', '655', '650', '672', '625', '649', '624', '632', '632', '632', '672', '640', '649', '632', '624', '624', '632', '643', '655', '641', '641', '648', '632', '632', '628', '655', '651', '696', '636', '648', '632', '648', '638', '648', '624', '632', '636', '648', '672', '632', '668', '624', '671', '640', '636', '636', '636', '636', '647', '624', '651', '624', '636', '659', '640']",arabica,especial
9,2024-06-25T11:28:17,"['647', '651', '655', '647', '680', '624', '641', '624', '628', '624', '624', '632', '625', '624', '640', '616', '632', '624', '624', '636', '632', '616', '636', '671', '711', '812', '812', '863', '799', '767', '739', '737', '732', '748', '751', '727', '703', '687', '687', '659', '667', '640', '640', '632', '640', '647', '663', '636', '644', '680', '624', '680', '632', '648', '660', '675', '679', '735', '733', '809', '831', '856', '854', '824', '784', '784', '815', '832', '896', '915', '1009', '1079', '1168', '1267', '1308', '1368', '1368', '1392', '1395', '1387', '1411', '1409', '1353', '1344', '1319', '1280', '1263', '1223', '1158', '1154', '1116', '1160', '1120', '1137', '1129', '1152', '1143', '1128', '1120', '1136', '1112', '1120', '1088', '1075', '1047', '1039', '1024', '1043', '995', '999', '1003', '975', '977', '1014', '942', '964', '936', '929', '959', '917', '960', '904', '903', '880', '881', '848', '864', '855', '855', '828', '817', '864', '801', '811', '800', '800', '792', '808', '792', '828', '832', '841', '872', '897', '928', '943', '963', '991', '991', '959', '972', '943', '943', '892', '876', '863', '844', '831', '824', '776', '776', '775', '775', '783', '768', '771', '768', '735', '748', '736', '720', '748', '735', '766', '734', '735', '719', '727', '709', '725', '719', '709', '700', '696', '736', '688', '712', '688', '720', '672', '713', '675', '707', '687', '672', '673', '704', '673', '720', '656', '664', '656', '656', '672', '672', '704', '672', '688', '656', '656', '655', '667', '687', '655', '687', '655', '679', '655', '655', '663', '641', '649', '632', '642', '638', '640', '632', '648', '632', '641', '648', '655', '653', '651', '624', '640', '643', '643', '632', '624', '680', '632', '655', '655', '647', '655', '663', '647', '651', '640', '645', '655', '647', '644', '652', '628', '648', '632', '649', '645', '663', '647', '632', '636', '671', '652', '671', '638', '655', '647', '655', '644', '644', '638', '639', '641', '641', '632', '644', '632', '638', '632', '624', '636', '666', '640', '663', '629']",arabica,especial
